GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore,com.nhnacademy.bookstore.book.bookTag.exception,ReadBookTagRequestFormException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.member.member.service.impl,MemberServiceImpl,130,85,4,0,26,23,7,5,5,5
bookstore,com.nhnacademy.bookstore.util,ApiResponse,76,49,0,0,12,13,8,6,8,6
bookstore,com.nhnacademy.bookstore.util,ApiResponse.Body,4,9,0,0,1,4,1,2,1,2
bookstore,com.nhnacademy.bookstore.util,ValidationUtils,5,4,1,1,2,2,2,1,1,1
bookstore,com.nhnacademy.bookstore.util,ApiResponse.Header,8,15,0,0,1,3,2,3,2,3
bookstore,com.nhnacademy.bookstore.entity.bookImage.enums,BookImageType,0,21,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.book.image.imageService.Impl,ImageServiceImpl,5,84,0,0,2,18,0,4,0,4
bookstore,com.nhnacademy.bookstore.entity.refund,Refund,0,3,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.refund,QRefund,85,0,2,0,17,0,7,0,6,0
bookstore,com.nhnacademy.bookstore.book.bookTag.dto.response,BookTagResponse,13,0,0,0,2,0,2,0,2,0
bookstore,com.nhnacademy.bookstore.book.bookTag.dto.response,ReadTagByBookResponse.ReadTagByBookResponseBuilder,4,14,0,0,0,1,1,3,1,3
bookstore,com.nhnacademy.bookstore.book.bookTag.dto.response,ReadTagByBookResponse,0,10,0,0,0,2,0,2,0,2
bookstore,com.nhnacademy.bookstore.book.bookTag.dto.response,ReadBookByTagResponse.ReadBookByTagResponseBuilder,31,79,0,0,0,1,2,12,2,12
bookstore,com.nhnacademy.bookstore.book.bookTag.dto.response,BookTagResponse.BookTagResponseBuilder,27,0,0,0,1,0,5,0,5,0
bookstore,com.nhnacademy.bookstore.book.bookTag.dto.response,ReadBookByTagResponse,0,40,0,0,0,2,0,2,0,2
bookstore,com.nhnacademy.bookstore.book.book.service.impl,BookServiceImpl,0,99,0,0,0,30,0,4,0,4
